Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,500,[],"[999, 1999]",,00:33:55
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,100,"[886, 1784, 2736]","[999, 1999]",0.4,00:18:59
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,100,[],"[999, 1999]",,00:15:51
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,300,[610],"[999, 1999]",,00:24:21
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,300,[],"[999, 1999]",,00:26:07
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,400,"[870, 2035]","[999, 1999]",1.0,00:29:37
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,400,[],"[999, 1999]",,00:31:13
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,500,"[633, 2019]","[999, 1999]",0.5,00:30:25
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,500,[],"[999, 1999]",,00:32:32
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,500,"[1041, 1791]","[999, 1999]",0.5,00:36:07
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,500,[],"[999, 1999]",,00:35:42
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,500,"[873, 1882]","[999, 1999]",1.0,00:34:37
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,500,[],"[999, 1999]",,00:34:12
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,300,"[815, 1779]","[999, 1999]",0.5,00:29:24
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,300,[],"[999, 1999]",,00:31:29
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,400,"[863, 1761]","[999, 1999]",0.5,00:37:18
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,400,[],"[999, 1999]",,00:37:14
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,600,"[899, 1799]","[999, 1999]",1.0,00:35:19
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,600,[],"[999, 1999]",,00:38:07
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,300,"[444, 1044, 1712]","[999, 1999]",0.4,00:30:59
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,300,[],"[999, 1999]",,00:30:29
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,200,"[877, 1465, 1913]","[999, 1999]",0.8,00:26:49
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,200,[],"[999, 1999]",,00:23:40
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,500,"[518, 1534]","[999, 1999]",,00:33:19
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,500,[],"[999, 1999]",,00:30:24
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,100,[1918],"[999, 1999]",0.6666666666666666,00:08:47
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,100,[],"[999, 1999]",,00:07:20
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,100,[989],"[999, 1999]",0.6666666666666666,00:17:38
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,100,[],"[999, 1999]",,00:14:13
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,600,[983],"[999, 1999]",0.6666666666666666,00:29:09
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,600,[],"[999, 1999]",,00:27:50
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,500,"[687, 1904]","[999, 1999]",0.5,00:26:59
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,500,[],"[999, 1999]",,00:24:11
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,600,"[899, 1799]","[999, 1999]",1.0,00:23:59
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,600,[],"[999, 1999]",,00:23:52
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,600,"[947, 1847]","[999, 1999]",1.0,00:29:40
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,600,[],"[999, 1999]",,00:28:43
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,100,"[444, 932]","[999, 1999]",0.5,00:14:50
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,100,[],"[999, 1999]",,00:12:05
