Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average WC,Atomic_Size2_ParallelToSequence,200,[],"[999, 1999]",,00:14:58
Bose Average J,Atomic_Size2_ConditionalToSequence,400,"[955, 1951]","[999, 1999]",1.0,00:22:53
Bose Average WC,Atomic_Size2_ConditionalToSequence,400,[1900],"[999, 1999]",0.6666666666666666,00:20:02
Bose Average J,Atomic_Size2_ConditionalMove,400,"[958, 1944]","[999, 1999]",1.0,00:23:23
Bose Average WC,Atomic_Size2_ConditionalMove,400,"[1260, 1602]","[999, 1999]",,00:21:05
Bose Average J,Atomic_Size2_Substitute,300,"[987, 1498, 1805]","[999, 1999]",0.8,00:22:05
Bose Average WC,Atomic_Size2_Substitute,300,"[987, 1831]","[999, 1999]",1.0,00:19:18
Bose Average J,Atomic_Size2_ParallelMove,400,[1661],"[999, 1999]",,00:22:35
Bose Average WC,Atomic_Size2_ParallelMove,400,[],"[999, 1999]",,00:20:12
Bose Average J,Atomic_Size2_ConditionalMove,600,"[958, 1944]","[999, 1999]",1.0,00:25:41
Bose Average WC,Atomic_Size2_ConditionalMove,600,[1241],"[999, 1999]",,00:22:54
Bose Average J,Atomic_Size2_SerialMove,100,[1553],"[999, 1999]",,00:14:06
Bose Average WC,Atomic_Size2_SerialMove,100,[],"[999, 1999]",,00:11:27
Bose Average J,Atomic_Size2_ConditionalToSequence,300,"[955, 1955, 2583]","[999, 1999]",0.8,00:19:04
Bose Average WC,Atomic_Size2_ConditionalToSequence,300,"[971, 1871]","[999, 1999]",1.0,00:16:46
Bose Average J,Atomic_Size2_Skip,200,"[1033, 1262]","[999, 1999]",0.5,00:16:04
Bose Average WC,Atomic_Size2_Skip,200,[1261],"[999, 1999]",,00:13:36
Bose Average J,Atomic_Size2_SerialMove,400,"[1505, 1874]","[999, 1999]",0.5,00:20:10
Bose Average WC,Atomic_Size2_SerialMove,400,[1903],"[999, 1999]",0.6666666666666666,00:17:52
Bose Average J,Atomic_Size2_ConditionalRemoval,300,"[830, 1460, 1960]","[999, 1999]",0.8,00:16:34
Bose Average WC,Atomic_Size2_ConditionalRemoval,300,"[829, 1948]","[999, 1999]",1.0,00:14:53
Bose Average J,Atomic_Size2_ParallelToSequence,300,"[1344, 1942]","[999, 1999]",0.5,00:16:35
Bose Average WC,Atomic_Size2_ParallelToSequence,300,[565],"[999, 1999]",,00:14:21
Bose Average J,Atomic_Size2_Loop,200,"[1023, 1909]","[999, 1999]",1.0,00:12:53
Bose Average WC,Atomic_Size2_Loop,200,[],"[999, 1999]",,00:11:02
Bose Average J,Atomic_Size2_ConditionalToSequence,500,"[955, 1955]","[999, 1999]",1.0,00:18:04
Bose Average WC,Atomic_Size2_ConditionalToSequence,500,[1769],"[999, 1999]",,00:15:30
Bose Average J,Atomic_Size2_ParallelToSequence,400,"[925, 1330, 1937, 2362]","[999, 1999]",0.6666666666666666,00:17:11
Bose Average WC,Atomic_Size2_ParallelToSequence,400,"[1326, 1943]","[999, 1999]",0.5,00:15:12
Bose Average J,Atomic_Size2_ParallelMove,300,[],"[999, 1999]",,00:13:08
Bose Average WC,Atomic_Size2_ParallelMove,300,[2343],"[999, 1999]",,00:11:38
