Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,250,75.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,100,10.0,"[918.0, 929.0, 947.0, 1931.0, 1945.6666666666667]","[999, 1999]",0.5714285714285715,00:00:02
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,100,20.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,100,30.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_Skip,100,10.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_Skip,100,20.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_Skip,100,30.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_Swap,250,25.0,"[909.5, 949.6666666666666, 1930.6]","[999, 1999]",0.8,00:00:02
Zheng DBSCAN,Atomic_Size2_Swap,250,50.0,"[933.6, 1930.6]","[999, 1999]",1.0,00:00:02
Zheng DBSCAN,Atomic_Size2_Swap,250,75.0,"[933.6, 1930.6]","[999, 1999]",1.0,00:00:02
