Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,[],[499],,,00:00:00,,800.0,240.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,[],[499],,,00:00:00,,800.0,320.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,[],[499],,,00:00:00,,800.0,400.0,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cd,100.0,700.0,[],[499],,,00:00:01,,,,,
Earth Mover's Distance,Ostovar,Atomic_Frequency_output_Frequency_5,,,"[940, 1968]","[999, 1999]",1.0,45.0,00:27:03,,,,500.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_ROI,400.0,700.0,[399],[499],1.0,100.0,00:00:05,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_ROI,400.0,700.0,[],[499],,,00:00:03,0.4,,,,
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_re,,,[],[499],,,00:00:00,,,,400.0,2.0
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI,200.0,400.0,"[1013, 2163]","[999, 1999]",1.0,89.0,00:00:27,,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_2,200.0,400.0,[1022],"[999, 1999]",0.6666666666666666,23.0,00:01:14,,,,,
Bose J,Ceravolo,sudden_trace_noise20_1000_rp,,,[],[499],,,00:00:16,,,,400.0,2.0
Bose WC,Ceravolo,sudden_trace_noise20_1000_rp,,,[],[499],,,00:00:11,,,,400.0,2.0
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,100.0,700.0,"[1102, 2247]","[999, 1999]",0.5,103.0,00:01:30,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,200.0,500.0,"[1107, 2060]","[999, 1999]",1.0,84.5,00:00:37,,,,,
Martjushev ADWIN J,Ostovar,Composite_ROI_output_ROI_2,100.0,600.0,"[579, 1980]","[999, 1999]",0.5,19.0,00:10:25,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI_2,100.0,600.0,[],"[999, 1999]",,,00:06:30,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IOR,100.0,400.0,[],[499],,,00:00:01,,,,,
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_re,,,[452],[499],1.0,47.0,00:00:01,,,,200.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pl,200.0,700.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_ROI,300.0,600.0,[496],[499],1.0,3.0,00:00:02,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cd,200.0,400.0,[],[499],,,00:00:01,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,100.0,400.0,[],"[999, 1999]",,,00:10:01,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,100.0,400.0,[],"[999, 1999]",,,00:05:29,0.4,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,300.0,600.0,"[987, 1999]","[999, 1999]",1.0,6.0,00:04:13,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,100.0,600.0,[1799],"[999, 1999]",0.6666666666666666,200.0,00:09:08,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,100.0,600.0,[],"[999, 1999]",,,00:05:55,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pl,300.0,400.0,[],[499],,,00:00:00,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,100.0,500.0,[1148],"[999, 1999]",0.6666666666666666,149.0,00:00:13,,,,,
Bose J,Ceravolo,sudden_trace_noise0_1000_cp,,,[438],[499],1.0,61.0,00:00:24,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise0_1000_cp,,,[404],[499],1.0,95.0,00:00:19,,,,100.0,2.0
Maaradji Runs,Ostovar,Composite_OIR_output_OIR_5,,,[],"[999, 1999]",,,00:06:23,,,,250.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_sw,300.0,400.0,[],[499],,,00:00:05,,,,,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_5,100.0,500.0,[1017],"[999, 1999]",0.6666666666666666,18.0,00:01:29,,,,,
Process Graph Metrics,Ostovar,Nested_ROI_output_ROI_2,200.0,700.0,"[1105, 2014]","[999, 1999]",1.0,60.5,00:01:37,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,200.0,700.0,"[1087, 2195]","[999, 1999]",1.0,142.0,00:01:18,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Skip_output_Skip_2,300.0,600.0,"[919, 1830]","[999, 1999]",1.0,124.5,00:09:23,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Skip_output_Skip_2,300.0,600.0,[],"[999, 1999]",,,00:06:35,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cp,300.0,600.0,[454],[499],1.0,45.0,00:00:06,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,400.0,500.0,[1056],"[999, 1999]",0.6666666666666666,57.0,00:00:24,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cd,300.0,400.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_ROI,300.0,400.0,"[478, 929]",[499],0.6666666666666666,21.0,00:00:02,,,,,
Martjushev ADWIN J,Ostovar,Composite_IOR_output_IOR_2,100.0,500.0,"[909, 1740]","[999, 1999]",0.5,90.0,00:07:06,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IOR_output_IOR_2,100.0,500.0,[],"[999, 1999]",,,00:04:23,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO,400.0,400.0,"[959, 1920]","[999, 1999]",1.0,59.5,00:07:35,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO,400.0,400.0,[],"[999, 1999]",,,00:04:10,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,200.0,500.0,[1148],"[999, 1999]",0.6666666666666666,149.0,00:00:07,,,,,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,300.0,500.0,"[829, 1910]","[999, 1999]",1.0,129.5,00:06:31,0.4,,,,
